# Model Parameters for Reconstruction:
# exp_name: 3q_512_cls_moe_4h
# num_qubits: 3
# d_model: 512
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 20
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 64
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_512_cls_moe_4h', 'timestamp': '20250902_183252', 'exp_dir': 'experiments/3q_512_cls_moe_4h_20250902_183252', 'model_path': 'models/best_3q_512_cls_moe_4h_20250902_183252.pth', 'log_path': 'experiments/3q_512_cls_moe_4h_20250902_183252/3q_512_cls_moe_4h.csv'}
# training_started: 2025-09-02T18:32:53.471396
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.017618145793676376,0.11571737378835678,-0.00034248828887939453,0.06271526438143704,0.04857262,0.0001,0.017603758722543716,0.035,0.186,0.429,0.884,1.0,1.0,1.0
2,val,0.018251392990350723,0.12017060816287994,-0.03629767894744873,0.25478836464209004,0.27486864,0.0001,0.018240501172840595,0.019,0.159,0.392,0.89,1.0,1.0,1.0
3,val,0.017709601670503616,0.11701998114585876,-0.005535244941711426,0.37195695509929466,0.38493794,0.0001,0.017696362920105457,0.029,0.181,0.412,0.893,1.0,1.0,1.0
4,val,0.01764676347374916,0.11635975539684296,-0.001967310905456543,0.46656814401148045,0.43810147,0.0001,0.01763299759477377,0.036,0.189,0.421,0.887,1.0,1.0,1.0
5,val,0.017602043226361275,0.11488647758960724,0.0005717873573303223,0.5742819803110395,0.5867949,0.0001,0.017586855217814445,0.038,0.199,0.433,0.884,0.998,1.0,1.0
6,val,0.01763632521033287,0.11425883322954178,-0.0013747215270996094,0.7446338990966712,0.7294136,0.0001,0.01762041635811329,0.042,0.205,0.435,0.883,0.996,1.0,1.0
7,val,0.017667125910520554,0.11681222170591354,-0.0031235218048095703,0.790184548885212,0.78696024,0.0001,0.01765385363250971,0.031,0.186,0.412,0.893,1.0,1.0,1.0
8,val,0.0175633504986763,0.11573992669582367,0.0027687549591064453,0.8049605845845264,0.7436222,0.0001,0.017549259588122368,0.036,0.187,0.427,0.886,1.0,1.0,1.0
9,val,0.017525672912597656,0.1157786026597023,0.00490802526473999,0.7423351645504185,0.6818702,0.0001,0.017511827871203423,0.035,0.19,0.423,0.887,1.0,1.0,1.0
10,val,0.01740654744207859,0.1138329803943634,0.011671900749206543,0.7128150380759571,0.6196024,0.0001,0.017391139641404152,0.041,0.209,0.434,0.885,0.996,1.0,1.0
11,val,0.017247274518013,0.11142408847808838,0.02071523666381836,0.636232636050032,0.53424263,0.0001,0.017230287194252014,0.045,0.231,0.462,0.882,0.995,1.0,1.0
12,val,0.015562545508146286,0.10957170277833939,0.11637264490127563,0.6186755706755708,0.5596909,0.0001,0.015550974756479263,0.029,0.186,0.454,0.928,1.0,1.0,1.0
13,val,0.00949936080724001,0.07742410153150558,0.46063482761383057,0.6960126360126361,0.6825156,0.0001,0.0094906659796834,0.076,0.413,0.704,0.957,0.998,1.0,1.0
14,val,0.010924938134849072,0.080069400370121,0.37969183921813965,0.7804074724074724,0.7427443,0.0001,0.010902410373091698,0.089,0.421,0.691,0.931,0.995,1.0,1.0
15,val,0.006196250207722187,0.06026438996195793,0.6481825113296509,0.8068849948849951,0.8088575,0.0001,0.006190100917592645,0.108,0.529,0.818,0.979,1.0,1.0,1.0
16,val,0.00582443131133914,0.05933705344796181,0.669293999671936,0.8412886332886332,0.84149057,0.0001,0.0058116852305829525,0.132,0.516,0.808,0.992,0.999,1.0,1.0
17,val,0.00496408948674798,0.05277586728334427,0.7181434631347656,0.8554361760024846,0.85702765,0.0001,0.004960693651810288,0.136,0.585,0.865,0.987,0.999,1.0,1.0
18,val,0.004343750886619091,0.04934313893318176,0.7533657550811768,0.8737869217869217,0.8767307,0.0001,0.004341368796303868,0.152,0.611,0.885,0.991,1.0,1.0,1.0
19,val,0.00364572461694479,0.045891158282756805,0.7929990291595459,0.8858462858462859,0.8927201,0.0001,0.003642071969807148,0.153,0.642,0.903,0.995,1.0,1.0,1.0
20,val,0.0034198123030364513,0.04508306458592415,0.8058261275291443,0.8957075837075837,0.9036424,0.0001,0.00341490947175771,0.175,0.624,0.921,0.998,1.0,1.0,1.0
final,test,0.0029914681799709797,0.04300641641020775,0.8290599584579468,0.9058206178206178,0.9182221,0.0001,,0.139,0.673,0.93,0.998,1.0,1.0,1.0
