# Model Parameters for Reconstruction:
# exp_name: 3q_d1024_h8_moe
# num_qubits: 3
# d_model: 1024
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 100
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1.0
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_d1024_h8_moe', 'timestamp': '20250902_211047', 'exp_dir': 'experiments/3q_d1024_h8_moe_20250902_211047', 'model_path': 'models/best_3q_d1024_h8_moe_20250902_211047.pth', 'log_path': 'experiments/3q_d1024_h8_moe_20250902_211047/3q_d1024_h8_moe.csv'}
# training_started: 2025-09-02T21:10:47.847239
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.01820066198706627,0.11993604898452759,-0.0334172248840332,0.07785130087844831,0.0780312,0.0001,0.018189589492976665,0.018,0.16,0.392,0.891,1.0,1.0,1.0
2,val,0.017856597900390625,0.11811155825853348,-0.013881564140319824,0.30332151023429293,0.24201798,0.0001,0.017844212241470814,0.025,0.171,0.402,0.892,1.0,1.0,1.0
3,val,0.01764846034348011,0.11437704414129257,-0.002063751220703125,0.404271464551343,0.4547211,0.0001,0.017632626928389072,0.042,0.205,0.433,0.88,0.996,1.0,1.0
4,val,0.01760338991880417,0.11504896730184555,0.0004953742027282715,0.5288557594351246,0.53744155,0.0001,0.0175883574411273,0.036,0.197,0.432,0.885,0.998,1.0,1.0
5,val,0.01765955425798893,0.11424488574266434,-0.0026935338973999023,0.5605934270367623,0.5783402,0.0001,0.0176435774192214,0.044,0.208,0.436,0.883,0.996,1.0,1.0
6,val,0.017610816285014153,0.1157955750823021,7.367134094238281e-05,0.7556961295934566,0.68792355,0.0001,0.017596528865396976,0.036,0.185,0.427,0.884,1.0,1.0,1.0
7,val,0.017585640773177147,0.11499975621700287,0.0015031695365905762,0.8215974705950215,0.7894093,0.0001,0.01757063064724207,0.036,0.197,0.432,0.885,0.998,1.0,1.0
8,val,0.017646891996264458,0.11681173741817474,-0.0019747018814086914,0.761611782302895,0.68144196,0.0001,0.01763370167464018,0.029,0.182,0.413,0.894,1.0,1.0,1.0
9,val,0.01740359142422676,0.11542175710201263,0.011839747428894043,0.7026917822048376,0.63091564,0.0001,0.017389764077961445,0.036,0.189,0.424,0.893,1.0,1.0,1.0
10,val,0.01596410758793354,0.097810760140419,0.09357231855392456,0.6712578712578713,0.52138174,0.0001,0.015938157215714455,0.073,0.338,0.612,0.865,0.979,1.0,1.0
11,val,0.0142437145113945,0.10388262569904327,0.19125467538833618,0.6603581523581524,0.6458825,0.0001,0.014241369906812906,0.04,0.207,0.496,0.935,0.999,1.0,1.0
12,val,0.011005564592778683,0.0826440081000328,0.37511390447616577,0.6683565443565443,0.63061285,0.0001,0.010988824535161257,0.079,0.365,0.678,0.939,0.993,1.0,1.0
13,val,0.01023317500948906,0.07960281521081924,0.4189695119857788,0.6678800118800119,0.65689415,0.0001,0.010231198742985725,0.086,0.396,0.683,0.949,0.996,1.0,1.0
14,val,0.00976119376718998,0.07822178304195404,0.44576817750930786,0.6914059754059755,0.673318,0.0001,0.009756439365446568,0.075,0.401,0.696,0.954,0.998,1.0,1.0
15,val,0.008441583253443241,0.07231567054986954,0.5206944942474365,0.7478075280509507,0.74599576,0.0001,0.008435514755547047,0.089,0.426,0.726,0.968,0.998,1.0,1.0
16,val,0.0068908859975636005,0.06413861364126205,0.6087417006492615,0.7933142053142055,0.8005271,0.0001,0.006869651842862368,0.114,0.499,0.782,0.976,0.998,1.0,1.0
17,val,0.005651939660310745,0.05823749676346779,0.6790879368782043,0.8498607818607821,0.8547099,0.0001,0.005630296189337969,0.136,0.519,0.833,0.985,0.999,1.0,1.0
18,val,0.004667704459279776,0.05451878532767296,0.7349719405174255,0.8846402846402848,0.8924949,0.0001,0.0046534433495253325,0.111,0.514,0.876,0.997,0.999,1.0,1.0
19,val,0.006612259894609451,0.06186753138899803,0.6245617866516113,0.8030202710202711,0.816103,0.0001,0.006590346340090036,0.134,0.497,0.802,0.977,0.998,1.0,1.0
20,val,0.0057633076794445515,0.05962424725294113,0.6727645397186279,0.866988938988939,0.8689992,0.0001,0.005747501738369465,0.114,0.491,0.82,0.987,0.999,1.0,1.0
21,val,0.0033372873440384865,0.04458020254969597,0.8105118274688721,0.8896231216231215,0.90035534,0.0001,0.0033310723956674337,0.155,0.647,0.912,0.999,1.0,1.0,1.0
22,val,0.003588729305192828,0.04734276980161667,0.796235203742981,0.9002462042462042,0.9093924,0.0001,0.0035808763932436705,0.15,0.605,0.906,0.999,1.0,1.0,1.0
23,val,0.0027846384327858686,0.04089175537228584,0.8418907523155212,0.9076410796410797,0.91918695,0.0001,0.0027809400344267488,0.171,0.685,0.942,1.0,1.0,1.0,1.0
24,val,0.0033053397201001644,0.044828131794929504,0.8123257756233215,0.9102284229591083,0.9192966,0.0001,0.003302965429611504,0.135,0.649,0.914,0.998,1.0,1.0,1.0
25,val,0.0028538857586681843,0.04111103713512421,0.8379589319229126,0.9070778857991194,0.916293,0.0001,0.0028498091269284487,0.157,0.686,0.933,0.999,1.0,1.0,1.0
26,val,0.002603461965918541,0.03912941366434097,0.8521777391433716,0.913033345033345,0.923465,0.0001,0.0026002625236287713,0.174,0.712,0.945,1.0,1.0,1.0,1.0
27,val,0.0026299834717065096,0.03915661573410034,0.8506718873977661,0.9121680389045431,0.9227039,0.0001,0.0026266040513291955,0.179,0.715,0.943,1.0,1.0,1.0,1.0
28,val,0.0038976960349828005,0.05021405592560768,0.7786923050880432,0.9118910038910039,0.92154163,0.0001,0.0038913984317332506,0.123,0.564,0.9,0.999,1.0,1.0,1.0
29,val,0.0030096671544015408,0.043387606739997864,0.8291138410568237,0.9128189168189168,0.92339736,0.0001,0.003004242549650371,0.133,0.649,0.929,1.0,1.0,1.0,1.0
