# Model Parameters for Reconstruction:
# exp_name: 3q_d512_h8_moe
# num_qubits: 3
# d_model: 512
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 100
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1.0
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_d512_h8_moe', 'timestamp': '20250902_204025', 'exp_dir': 'experiments/3q_d512_h8_moe_20250902_204025', 'model_path': 'models/best_3q_d512_h8_moe_20250902_204025.pth', 'log_path': 'experiments/3q_d512_h8_moe_20250902_204025/3q_d512_h8_moe.csv'}
# training_started: 2025-09-02T20:40:26.454644
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.018289031460881233,0.12034758180379868,-0.038434743881225586,0.37773310921230985,0.33333954,0.0001,0.018278283067047596,0.019,0.157,0.39,0.89,1.0,1.0,1.0
2,val,0.017619533464312553,0.11625678837299347,-0.00042128562927246094,0.6984957511001232,0.69119763,0.0001,0.017605741508305073,0.036,0.189,0.42,0.887,1.0,1.0,1.0
3,val,0.017626384273171425,0.11656614392995834,-0.0008102655410766602,0.7686377072984206,0.7701441,0.0001,0.017612947151064873,0.033,0.186,0.415,0.893,1.0,1.0,1.0
4,val,0.017521366477012634,0.11561817675828934,0.005152583122253418,0.8059352853667622,0.7660533,0.0001,0.01750731933861971,0.038,0.187,0.427,0.886,1.0,1.0,1.0
5,val,0.017366988584399223,0.11523398011922836,0.013917982578277588,0.7061637324007148,0.63069415,0.0001,0.01735319010913372,0.035,0.19,0.426,0.892,1.0,1.0,1.0
6,val,0.01678651012480259,0.11118443310260773,0.04687702655792236,0.6992263193239984,0.623088,0.0001,0.0167707996442914,0.044,0.222,0.451,0.892,0.997,1.0,1.0
7,val,0.012217913754284382,0.08989483118057251,0.306277871131897,0.6544046944046944,0.60701823,0.0001,0.01220038440078497,0.064,0.321,0.607,0.926,0.998,1.0,1.0
8,val,0.010613899677991867,0.08300863951444626,0.39735233783721924,0.753641693902619,0.735968,0.0001,0.010612140875309706,0.073,0.369,0.669,0.943,0.998,1.0,1.0
9,val,0.009394878521561623,0.07963337749242783,0.4665672779083252,0.8172132972132973,0.80787235,0.0001,0.009395364206284285,0.069,0.346,0.704,0.962,0.999,1.0,1.0
10,val,0.005693523213267326,0.05899546667933464,0.6767268180847168,0.8350531955583552,0.83487564,0.0001,0.005689814919605851,0.108,0.508,0.826,0.989,0.999,1.0,1.0
11,val,0.005021405406296253,0.0553017184138298,0.7148891687393188,0.8460499980499983,0.8539314,0.0001,0.005015605594962835,0.126,0.536,0.859,0.991,0.999,1.0,1.0
12,val,0.004723032936453819,0.05281228572130203,0.7318304777145386,0.8551674151674152,0.86149913,0.0001,0.00471327593550086,0.131,0.569,0.864,0.992,0.999,1.0,1.0
13,val,0.004231270868331194,0.050048936158418655,0.7597522735595703,0.8676362076362076,0.8760978,0.0001,0.00422425358556211,0.147,0.583,0.881,0.993,1.0,1.0,1.0
14,val,0.004097251687198877,0.04973474517464638,0.7673617005348206,0.8749375309375309,0.8844548,0.0001,0.004088980727829039,0.133,0.592,0.88,0.997,1.0,1.0,1.0
15,val,0.005459750071167946,0.05967237427830696,0.6900002956390381,0.8743325863325864,0.88131136,0.0001,0.005448752082884312,0.093,0.483,0.837,0.993,1.0,1.0,1.0
16,val,0.0036738768685609102,0.04648711904883385,0.7914005517959595,0.8797814797814797,0.89000624,0.0001,0.003670965088531375,0.15,0.634,0.903,0.995,1.0,1.0,1.0
17,val,0.0038823559880256653,0.0485411062836647,0.779563307762146,0.8882259362259363,0.8959868,0.0001,0.0038828726392239332,0.13,0.614,0.886,0.997,1.0,1.0,1.0
18,val,0.0035457350313663483,0.045573726296424866,0.7986763715744019,0.8924995244995245,0.9024025,0.0001,0.0035458954516798258,0.145,0.641,0.906,0.996,1.0,1.0,1.0
19,val,0.004158007446676493,0.05152929946780205,0.7639120817184448,0.8921312801312802,0.9015315,0.0001,0.004151755711063743,0.127,0.555,0.891,0.999,1.0,1.0,1.0
20,val,0.003172418801113963,0.043498288840055466,0.8198729157447815,0.8982834462834465,0.9079793,0.0001,0.0031696114456281066,0.158,0.64,0.924,0.998,1.0,1.0,1.0
