python '/Users/guwenlan/Desktop/XAI/AbsValue/Model4_ReLUActivation/train_model4.py'
Results will be saved to: ./results_20251111_182817
Using device: MPS (Apple Silicon GPU)
Loading dataset...
Loaded data: X shape=torch.Size([50000, 16]), Y shape=torch.Size([50000, 1])
Train samples: 40000, Validation samples: 10000

Model Architecture:
MLPReLUActivation(
  (model): Sequential(
    (0): Linear(in_features=16, out_features=64, bias=True)
    (1): ReLU()
    (2): Linear(in_features=64, out_features=64, bias=True)
    (3): ReLU()
    (4): Dropout(p=0.0, inplace=False)
    (5): Linear(in_features=64, out_features=1, bias=True)
  )
)

Total parameters: 5313

Starting training...
================================================================================
Epoch   1/200: Train Loss = 0.031780, Val Loss = 0.007001
Epoch   2/200: Train Loss = 0.006190, Val Loss = 0.006064
Epoch   3/200: Train Loss = 0.005486, Val Loss = 0.005254
Epoch   4/200: Train Loss = 0.004680, Val Loss = 0.004284
Epoch   5/200: Train Loss = 0.003359, Val Loss = 0.002848
Epoch   6/200: Train Loss = 0.002145, Val Loss = 0.001735
Epoch   7/200: Train Loss = 0.001151, Val Loss = 0.000779
Epoch   8/200: Train Loss = 0.000598, Val Loss = 0.000529
Epoch   9/200: Train Loss = 0.000341, Val Loss = 0.000248
Epoch  10/200: Train Loss = 0.000205, Val Loss = 0.000170
Epoch  11/200: Train Loss = 0.000131, Val Loss = 0.000080
Epoch  12/200: Train Loss = 0.000103, Val Loss = 0.000055
Epoch  13/200: Train Loss = 0.000066, Val Loss = 0.000122
Epoch  14/200: Train Loss = 0.000061, Val Loss = 0.000105
Epoch  15/200: Train Loss = 0.000052, Val Loss = 0.000039
Epoch  16/200: Train Loss = 0.000051, Val Loss = 0.000027
Epoch  17/200: Train Loss = 0.000041, Val Loss = 0.000035
Epoch  18/200: Train Loss = 0.000035, Val Loss = 0.000068
Epoch  19/200: Train Loss = 0.000035, Val Loss = 0.000010
Epoch  20/200: Train Loss = 0.000043, Val Loss = 0.000055
Epoch  21/200: Train Loss = 0.000028, Val Loss = 0.000032
Epoch  22/200: Train Loss = 0.000032, Val Loss = 0.000048
