Epoch	Train_Loss	Val_Loss
1	0.083372	0.026035
2	0.040338	0.020269
3	0.033779	0.015612
4	0.028452	0.013203
5	0.023870	0.010349
6	0.019397	0.009026
7	0.016917	0.008434
8	0.015812	0.007701
9	0.015369	0.007624
10	0.014525	0.007618
11	0.014125	0.006680
12	0.013630	0.006934
13	0.013453	0.006227
14	0.012840	0.005988
15	0.012258	0.005546
16	0.011964	0.005730
17	0.011816	0.005913
18	0.011445	0.005567
19	0.011353	0.005054
20	0.011153	0.005790
21	0.010911	0.006405
22	0.010794	0.005157
23	0.010564	0.005454
24	0.010476	0.004932
25	0.010238	0.004767
26	0.010138	0.005428
27	0.009956	0.004825
28	0.009817	0.005026
29	0.009515	0.005065
30	0.009494	0.004864
31	0.009267	0.004356
32	0.009215	0.004181
33	0.009207	0.004212
34	0.008905	0.004007
35	0.008863	0.004011
36	0.008754	0.004557
37	0.008521	0.004095
38	0.008447	0.003850
39	0.008351	0.003863
40	0.008283	0.003557
41	0.008162	0.003727
42	0.008066	0.003754
43	0.007955	0.003516
44	0.007769	0.003563
45	0.007795	0.003407
46	0.007721	0.003570
47	0.007660	0.004366
48	0.007456	0.003763
49	0.007356	0.003282
50	0.007300	0.003399
