# Model Parameters for Reconstruction:
# exp_name: 3q_256_cls_moe_64h
# num_qubits: 3
# d_model: 256
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 20
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 32
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_256_cls_moe_64h', 'timestamp': '20250902_181813', 'exp_dir': 'experiments/3q_256_cls_moe_64h_20250902_181813', 'model_path': 'models/best_3q_256_cls_moe_64h_20250902_181813.pth', 'log_path': 'experiments/3q_256_cls_moe_64h_20250902_181813/3q_256_cls_moe_64h.csv'}
# training_started: 2025-09-02T18:18:14.194146
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.021443603560328484,0.13011588156223297,-0.21754848957061768,-0.039216768864262765,0.022011666,0.0001,0.021438430063426495,0.026,0.132,0.35,0.835,1.0,1.0,1.0
2,val,0.018397612497210503,0.12078776210546494,-0.04459989070892334,-0.03609265471018283,0.045271017,0.0001,0.018387184478342533,0.021,0.151,0.39,0.887,1.0,1.0,1.0
3,val,0.01792944222688675,0.1185559406876564,-0.01801753044128418,-0.024571910122262973,0.06110541,0.0001,0.017917411401867867,0.024,0.168,0.398,0.891,1.0,1.0,1.0
4,val,0.017925681546330452,0.1185401976108551,-0.01780414581298828,0.06332436859600535,0.13490991,0.0001,0.017913661897182465,0.024,0.168,0.398,0.892,1.0,1.0,1.0
5,val,0.017771102488040924,0.11753153800964355,-0.009027242660522461,0.13352020540852091,0.177794,0.0001,0.017758317291736603,0.03,0.175,0.411,0.893,1.0,1.0,1.0
6,val,0.01762935146689415,0.11609432101249695,-0.000978708267211914,0.16729110154588492,0.19631529,0.0001,0.01761534810066223,0.036,0.187,0.424,0.885,1.0,1.0,1.0
7,val,0.017602749168872833,0.11481884121894836,0.0005317330360412598,0.34659716520779715,0.33172536,0.0001,0.017587517388164997,0.039,0.198,0.431,0.885,0.998,1.0,1.0
8,val,0.017765900120139122,0.1175384446978569,-0.008731842041015625,0.38426151015112003,0.36340433,0.0001,0.017753159627318382,0.03,0.175,0.411,0.892,1.0,1.0,1.0
9,val,0.017857613041996956,0.11818153411149979,-0.013939142227172852,0.4448498929739811,0.43485832,0.0001,0.017845386639237404,0.023,0.17,0.4,0.893,1.0,1.0,1.0
10,val,0.017606034874916077,0.11599329113960266,0.0003451704978942871,0.5912003007107693,0.5593549,0.0001,0.017592038959264755,0.036,0.187,0.424,0.885,1.0,1.0,1.0
11,val,0.017996327951550484,0.118990957736969,-0.02181529998779297,0.7187997703401403,0.6872959,0.0001,0.01798473484814167,0.022,0.168,0.4,0.888,1.0,1.0,1.0
12,val,0.017638912424445152,0.11659132689237595,-0.0015215873718261719,0.7535180087218382,0.7153807,0.0001,0.017625482752919197,0.032,0.186,0.415,0.892,1.0,1.0,1.0
13,val,0.01754678040742874,0.11497366428375244,0.0037096142768859863,0.8046382535391896,0.77824533,0.0001,0.017531937919557095,0.036,0.194,0.431,0.887,0.998,1.0,1.0
14,val,0.018160516396164894,0.11984732747077942,-0.031137824058532715,0.8093176353089768,0.7671001,0.0001,0.01814970374107361,0.019,0.16,0.394,0.892,1.0,1.0,1.0
15,val,0.017853818833827972,0.11843669414520264,-0.01372373104095459,0.7728406941147825,0.69417584,0.0001,0.017842238768935204,0.022,0.168,0.403,0.893,1.0,1.0,1.0
16,val,0.0173741914331913,0.11598610132932663,0.013509035110473633,0.7315903899799324,0.6341119,0.0001,0.017361448146402836,0.03,0.176,0.416,0.898,1.0,1.0,1.0
17,val,0.01605950854718685,0.10957902669906616,0.08815550804138184,0.6692686532686533,0.60349715,0.0001,0.016045352909713984,0.042,0.205,0.453,0.909,0.998,1.0,1.0
18,val,0.010005262680351734,0.08023924380540848,0.4319102168083191,0.6725269445269446,0.66392696,0.0001,0.010000331792980433,0.087,0.37,0.68,0.956,0.999,1.0,1.0
19,val,0.011585643514990807,0.09383723139762878,0.3421775698661804,0.7385563025563026,0.72700113,0.0001,0.011581630446016788,0.038,0.23,0.554,0.971,0.999,1.0,1.0
20,val,0.008154459297657013,0.07102897763252258,0.5369971394538879,0.7593438153438155,0.75061333,0.0001,0.008153119124472141,0.101,0.447,0.737,0.965,0.998,1.0,1.0
final,test,0.007081012707203627,0.06564795225858688,0.5953730344772339,0.7818281418281419,0.7792822,0.0001,,0.1,0.471,0.775,0.977,0.999,1.0,1.0
