# Model Parameters for Reconstruction:
# exp_name: 3q_512_cls_moe_4h
# num_qubits: 3
# d_model: 512
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 20
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 4
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_512_cls_moe_4h', 'timestamp': '20250902_182736', 'exp_dir': 'experiments/3q_512_cls_moe_4h_20250902_182736', 'model_path': 'models/best_3q_512_cls_moe_4h_20250902_182736.pth', 'log_path': 'experiments/3q_512_cls_moe_4h_20250902_182736/3q_512_cls_moe_4h.csv'}
# training_started: 2025-09-02T18:27:37.541337
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.01860879547894001,0.12160884588956833,-0.05659067630767822,0.10629385558073176,0.15323235,0.0001,0.018598927184939384,0.025,0.148,0.381,0.889,1.0,1.0,1.0
2,val,0.01821640133857727,0.12001919001340866,-0.03431093692779541,0.2566933319849867,0.26551336,0.0001,0.018205471336841583,0.018,0.161,0.389,0.892,1.0,1.0,1.0
3,val,0.01759597286581993,0.1154814288020134,0.0009165406227111816,0.4424781360815028,0.41033423,0.0001,0.01758142840117216,0.035,0.189,0.428,0.886,0.999,1.0,1.0
4,val,0.0176877249032259,0.11693891882896423,-0.004293084144592285,0.5868674246327535,0.5600898,0.0001,0.01767453085631132,0.029,0.181,0.413,0.893,1.0,1.0,1.0
5,val,0.017651306465268135,0.11674778163433075,-0.0022252798080444336,0.7660049781180214,0.7139121,0.0001,0.017638059332966805,0.03,0.186,0.412,0.893,1.0,1.0,1.0
6,val,0.0175225380808115,0.11410586535930634,0.005086064338684082,0.7635258637982195,0.6434744,0.0001,0.0175069784745574,0.042,0.208,0.433,0.882,0.996,1.0,1.0
7,val,0.017669066786766052,0.11769288778305054,-0.003233790397644043,0.6151460805278335,0.5115185,0.0001,0.017657335847616196,0.021,0.169,0.406,0.899,1.0,1.0,1.0
8,val,0.016858790069818497,0.1107257753610611,0.04277306795120239,0.5987017642939749,0.48207474,0.0001,0.016842427663505077,0.048,0.235,0.463,0.89,0.996,1.0,1.0
9,val,0.015818359330296516,0.10840066522359848,0.10184776782989502,0.5928212328212328,0.5629831,0.0001,0.015816939063370228,0.039,0.209,0.483,0.911,0.996,1.0,1.0
10,val,0.011326408945024014,0.08882911503314972,0.35689663887023926,0.6635640035640037,0.6505432,0.0001,0.011318739969283342,0.061,0.308,0.606,0.96,0.999,1.0,1.0
11,val,0.007823928259313107,0.06894508004188538,0.5557644367218018,0.758991446991447,0.75031507,0.0001,0.007806433830410242,0.087,0.476,0.751,0.97,0.998,1.0,1.0
12,val,0.0068957870826125145,0.06479118019342422,0.6084634065628052,0.8163547683547685,0.8114102,0.0001,0.006878701271489263,0.115,0.474,0.785,0.979,0.999,1.0,1.0
13,val,0.0050836228765547276,0.055407095700502396,0.7113564610481262,0.8434974154974156,0.8466655,0.0001,0.005077992798760533,0.102,0.557,0.853,0.99,1.0,1.0,1.0
14,val,0.004097591619938612,0.04875446483492851,0.7673424482345581,0.8701398901398901,0.8772557,0.0001,0.004091019742190838,0.141,0.619,0.89,0.993,1.0,1.0,1.0
15,val,0.004904712550342083,0.05491669103503227,0.7215148210525513,0.8825366945366946,0.88769245,0.0001,0.004902235697954893,0.117,0.535,0.86,0.991,1.0,1.0,1.0
16,val,0.003697941778227687,0.0457843616604805,0.7900341749191284,0.886899802899803,0.891353,0.0001,0.0036914051743224263,0.158,0.644,0.911,0.994,1.0,1.0,1.0
17,val,0.0040877279825508595,0.05109826475381851,0.7679024934768677,0.8893512853512855,0.89550704,0.0001,0.004077993566170335,0.12,0.562,0.882,0.998,1.0,1.0,1.0
18,val,0.003242466365918517,0.04321889579296112,0.815895676612854,0.8989157869157871,0.90413684,0.0001,0.0032371251145377755,0.167,0.659,0.926,0.998,1.0,1.0,1.0
19,val,0.0031001714523881674,0.04268790781497955,0.8239750266075134,0.9030961110961111,0.9085369,0.0001,0.003094458719715476,0.163,0.656,0.923,0.999,1.0,1.0,1.0
20,val,0.004697504919022322,0.05605257675051689,0.7332798838615417,0.8951919071919072,0.9016622,0.0001,0.00468825432471931,0.104,0.505,0.861,0.998,1.0,1.0,1.0
final,test,0.0027558226138353348,0.04026412218809128,0.8425253033638,0.9112971232971233,0.9197126,0.0001,,0.17,0.704,0.936,0.998,1.0,1.0,1.0
