sample_id,S_rho_bits,purity_scalar,Hinf_bits,r_bloch_A,s_bloch_B,T_corr,CHSH_bound_max,T_fro_norm,C_rel_bits,C_conc,N_neg
24572,4.29719703982997e-15,0.9999999999999998,1.6017132519074588e-16,[ 0.76494485 -0.37354592 -0.02820962],[-0.38292474 -0.13587529  0.74858501],"[[-0.32215213  0.05755298  0.86750984]
 [ 0.33097896  0.49716954 -0.23945555]
 [ 0.45588301 -0.2061534   0.15809576]]",2.2578990501506113,1.2446100033084733,1.4862537020066038,0.5239532606805749,0.2619766354886246
24573,0.8116857147780032,0.6247428108835893,0.41553256623412993,[ 0.83315797 -0.07742403 -0.0111131 ],[-0.48099431 -0.14027892  0.17398719],"[[-0.45943865 -0.10735443  0.15891608]
 [-0.03720412  0.18957845 -0.09416909]
 [ 0.22912489 -0.20072171  0.36132157]]",1.4218009974146035,0.7193023155302175,1.0653015711116565,0.110363632740341,0.04678253798240806
24574,2.0145259787740466e-15,1.0000000000000002,3.203426503814918e-16,[ 0.59271172  0.59436212 -0.32423643],[-0.54752496 -0.06198757 -0.7113907 ],"[[-0.24422635  0.20552477 -0.66311196]
 [-0.38974412 -0.37224207 -0.50308937]
 [ 0.52776303 -0.11547768  0.05964539]]",2.182014870221624,1.1749869986234511,1.4557970681285068,0.43623069385462054,0.21811534991093184
24575,0.5072805021965707,0.8003803581557922,0.17210981450602608,[-0.0361081  -0.85462588  0.25971955],[ 0.24667697 -0.65459359  0.41972   ],"[[ 0.02517484 -0.14992485 -0.10431238]
 [-0.34521189  0.59474927 -0.33355912]
 [-0.06819851 -0.13797623  0.30827006]]",1.7033453104526244,0.8584118103107615,1.27585682278614,0.20209326194014637,0.06176125199079796
24576,2.795497326860511e-15,1.0,-0.0,[ 0.54656308 -0.05074309  0.66807829],[-0.18970779  0.60711398 -0.58571172],"[[-0.46101362  0.24873617 -0.52601644]
 [ 0.2514166  -0.30660578 -0.31260644]
 [ 0.11229656  0.68196477 -0.47011432]]",2.2381826024051152,1.2266746434382945,1.3730963225248862,0.5023597620217698,0.2511798859518981
24577,0.2011762317583209,0.9392434015970188,0.04597029358396227,[-0.24645115  0.25905678  0.50672095],[-0.16910623 -0.21562818  0.57003677],"[[-0.55187154  0.09331234 -0.52112281]
 [-0.30779455  0.40503295  0.57204213]
 [-0.34503429 -0.62797328  0.53671752]]",2.4317613743153963,1.4043947287474188,1.2761109337220442,0.715270194285861,0.3507015402315743
24578,2.4167904505150846e-15,1.0,-0.0,[-0.29090425  0.25773587  0.60481684],[-0.01839788 -0.42064637 -0.58273032],"[[-0.57558994  0.04612781  0.48408394]
 [ 0.13650733 -0.72462976  0.07647718]
 [-0.3654367  -0.36451451 -0.76323793]]",2.4356876044571316,1.4022435784317426,1.2083465272605887,0.6950852615657745,0.3475426328619733
24579,0.6343283642171703,0.7311893069458963,0.251552271080967,[ 0.27236597  0.66211757 -0.20247073],[-0.38028908  0.14105518 -0.43871633],"[[ 0.27384304  0.20910841 -0.18199275]
 [-0.62921304  0.08629855 -0.56431585]
 [ 0.24385388 -0.27809422 -0.06118741]]",1.9060614305921728,1.0070707884939651,1.1705058530480228,0.3326250658291665,0.15253210931566974
24580,0.6745063974889776,0.7080538574573484,0.2818561854412739,[ 0.37847973  0.12360866 -0.02415831],[-0.56847285 -0.11069223 -0.34179567],"[[-0.5503486  -0.26863807 -0.19023896]
 [-0.38588731  0.59933645  0.02486458]
 [-0.18220098  0.01795871  0.5170835 ]]",1.9583557835477254,1.1049286682141026,1.0087657959940157,0.5206180243764434,0.2312886381182886
24581,2.0138801835706813e-15,1.0,-0.0,[-0.8228659  -0.06453671  0.50759938],[ 0.39414549  0.54420276 -0.69815692],"[[-0.37809007 -0.56697313  0.52322773]
 [ 0.19491482 -0.13108086  0.10030259]
 [ 0.18835174  0.13632873 -0.51445586]]",2.060164652143062,1.0593107178584906,1.374396753620413,0.24712263269202833,0.12356131927603342
24582,4.1153931862951355e-15,1.0000000000000004,-0.0,[-0.75437527  0.6181398   0.04873748],[-0.34781837 -0.65900081  0.63110579],"[[ 0.17525333  0.60792509 -0.46394094]
 [-0.33677371 -0.31575591  0.46413822]
 [-0.15262097 -0.10701938 -0.1186374 ]]",2.045918668577126,1.0454145585442163,1.6602118417523328,0.21551286410289672,0.10775643786811462
24583,6.765741776393988e-15,1.0,-0.0,[ 0.79211964 -0.36384243  0.47558261],[-0.93335043 -0.14942447  0.30420874],"[[-0.73904855 -0.07569603  0.29919428]
 [ 0.38181639  0.01859049 -0.01543698]
 [-0.43949159 -0.17389228  0.12951368]]",2.0139377842809947,1.0138898852820863,1.761998485437255,0.11826388951391344,0.059131949356209246
24584,0.9128578870070776,0.559175999894385,0.5734418996956071,[-0.26244656 -0.02569628  0.3503015 ],[ 0.32530577  0.10589351 -0.17684026],"[[-0.4090254  -0.3377134  -0.11737985]
 [-0.19069104  0.66536958  0.21322625]
 [ 0.06574279 -0.15356533  0.22037432]]",1.8260659800699894,0.9466491435015585,0.9021359186497533,0.39694973764076374,0.1551670330023336
24585,0.33586843957872586,0.883448818897534,0.09255019365394618,[0.30742266 0.77528448 0.10972822],[ 0.79627197 -0.22385515 -0.37018023],"[[ 0.2441543   0.0199883  -0.3863614 ]
 [ 0.76795891 -0.2006277  -0.21481486]
 [ 0.18815643  0.28723322 -0.04046166]]",1.931692862450075,1.0024902424233435,1.5541888110420388,0.2884204041509568,0.13062242372059707
24586,5.762371791805849e-15,1.0,-0.0,[ 0.71895954  0.34694121 -0.32040534],[ 0.49834409  0.06132511 -0.69844327],"[[ 7.11937970e-01  2.71512736e-02 -5.19017678e-01]
 [-3.94992323e-02 -2.77744215e-01 -5.49304614e-01]
 [-6.03630610e-04 -4.31220503e-01  4.20449152e-01]]",2.2450562522319712,1.2329390852118087,1.4790194500264038,0.5099699813744261,0.2549849965789487
24587,1.7217397095320598e-15,1.0000000000000004,-0.0,[-0.06417181 -0.45222322  0.04746104],[-0.32811066  0.31569812 -0.05961966],"[[-0.1365496  -0.18259517  0.86096157]
 [ 0.67691811 -0.73158238 -0.01408951]
 [-0.64800947 -0.5658932  -0.22632887]]",2.675162491460627,1.605692118016064,1.9592814871897444,0.88832626729339,0.444163142586555
24588,2.9355152598813377e-15,0.9999999999999996,4.805139755722377e-16,[ 0.62508207 -0.45924904 -0.26537319],[0.42056626 0.67443551 0.2008008 ],"[[ 0.39067259  0.73330177 -0.16825825]
 [-0.5338338  -0.21195378 -0.45710671]
 [ 0.25925312 -0.4473781  -0.36194388]]",2.3047254004071585,1.286809848284108,1.8422295802622706,0.572660266015744,0.28633013848549227
24589,0.8763174915950619,0.5832507599116941,0.506305556258427,[ 0.2407617  -0.04671454 -0.29661173],[-0.13413175  0.05707859 -0.10279149],"[[-0.29835128  0.14508154  0.20288127]
 [ 0.67810984  0.60955711  0.09171822]
 [ 0.14642825 -0.20474407  0.31411991]]",2.0178045560785547,1.0738066380524898,0.9867777611116048,0.37306661751579695,0.17966533662876893
24590,3.545230275955464e-15,1.0,-0.0,[ 0.56362419 -0.24327903  0.7479444 ],[-0.83324743 -0.45265348  0.19256505],"[[-0.56352321 -0.24061177 -0.07708474]
 [ 0.10457372  0.3335453  -0.02681072]
 [-0.65538497 -0.31539013  0.30682679]]",2.0627382340054727,1.0618119000152562,1.4748779513914372,0.25243266723677177,0.12621633759839124
24591,9.925814845044157e-15,1.0,1.6017132519074588e-16,[ 0.20189512  0.06125669 -0.38449227],[-0.25947038 -0.00120401  0.35358451],"[[-0.54342031 -0.72407995  0.16975248]
 [ 0.58835554 -0.31705798  0.60391725]
 [ 0.48322735 -0.42759278 -0.73426271]]",2.688978744430646,1.6171899529739562,1.4469659693066768,0.8986944090565537,0.44934721318818505
24592,0.911262769831904,0.5602361448919372,0.5701524908618459,[ 0.42700226 -0.00633247  0.16772509],[-0.06718976 -0.59969449  0.37041275],"[[-0.4250014  -0.17770096  0.32692545]
 [-0.0764125   0.08052817 -0.23305173]
 [ 0.33536676  0.07988284  0.15657375]]",1.4511321221548514,0.727384559594176,0.9593520574449281,0.324192119824812,0.08501417024292102
24593,0.5172323052061495,0.79518472329915,0.177592051395458,[0.02183202 0.15192359 0.71184633],[ 0.29028711  0.63305165 -0.36294362],"[[-0.22713806 -0.19106072 -0.27145217]
 [ 0.26402246 -0.04006183 -0.36195088]
 [ 0.07778105  0.75823805 -0.29770613]]",1.92740182381908,1.0167139227771236,0.9778218021805828,0.4110581117055909,0.16727220890762085
24594,0.9835320280635117,0.5113712297547793,0.7973553109187502,[ 0.15715922 -0.20326443 -0.01719999],[0.07197245 0.21225672 0.37953362],"[[ 0.15958474 -0.55764592  0.37501468]
 [ 0.19662256 -0.49071353  0.12331281]
 [-0.00640922 -0.10862271 -0.03628251]]",1.7686100423986295,0.8859429505030603,0.9089506946341729,0.08714991420082698,0.03902224442545821
24595,0.9107199675078699,0.5605967108022064,0.5690420306018701,[ 0.13307166  0.31740222 -0.35677525],[ 0.19232574 -0.3137104  -0.44655951],"[[ 0.01467107 -0.12364918 -0.20448236]
 [-0.34168629 -0.10191335 -0.18408863]
 [-0.59739247 -0.14702263  0.25493516]]",1.617408226404648,0.8135276425669103,0.8371272608295217,0.1988487129890078,0.0745545334001736
24596,0.11887643686358096,0.9683403955273184,0.02339975498155314,[-0.6175193   0.30053657 -0.55351694],[ 0.41006982  0.78697479 -0.03281395],"[[-0.25733745 -0.65204642 -0.2633377 ]
 [-0.12098192  0.42090709 -0.24507062]
 [-0.52750527 -0.42537883  0.18698429]]",2.1400298912862286,1.143138192433844,1.6163105857898503,0.40309144980698564,0.2008448433920912
24597,1.1460631516648825e-14,1.0000000000000002,-0.0,[-0.37921902 -0.44129804 -0.5687416 ],[-0.01144521 -0.76025998  0.28964082],"[[ 0.51706389  0.45099878 -0.10504317]
 [-0.21294954  0.66482536  0.2130391 ]
 [-0.15940637  0.52017741 -0.60452795]]",2.313423408602732,1.2945902570835073,1.4641983471861066,0.5813621541014169,0.2906810824889412
24598,2.0411887340983968e-14,1.0000000000000004,-0.0,[ 0.48411772  0.3048378  -0.32710282],[ 0.44480849 -0.28200246 -0.3961216 ],"[[ 0.86868648 -0.17458408 -0.12240044]
 [-0.01968086 -0.7750469  -0.23989321]
 [-0.09251356 -0.11855713  0.80628121]]",2.502564841083251,1.4599367766835034,1.3424646834609564,0.7521354081417452,0.37606771197369127
24599,6.919395589176397e-15,0.9999999999999992,9.610279511444756e-16,[0.73223873 0.60580261 0.12558738],[0.46215181 0.72409934 0.42548607],"[[ 0.47355163  0.59744165  0.18985081]
 [ 0.22094029  0.41632245  0.47530544]
 [-0.14688768  0.27407371 -0.01171557]]",2.0794782582793565,1.0780143381830662,1.849916681024573,0.2847059064458062,0.14235295629538003
